,0,1
70,2020-04-28 16:53:16+00:00,"Coronavirus: British Airways to cut up to 12,000 jobs The UK flag carrier says a collapse in business because of coronavirus means a major restructuring is needed. https://www.bbc.co.uk/news/business-52462660 via @BBCBusiness"
71,2020-04-28 16:40:43+00:00,"Breaking: British Airways owner International Airlines Group (IAG) has announced up to 12,000 planned job cuts British Airways has availed itself of the UK’s Covid-19 job retention scheme and furloughed 22,626 employees in April. Won't be the last "
72,2020-04-28 14:34:38+00:00,"Coronavirus: HSBC puts 35,000 job cuts on hold via @BBCNews https://www.bbc.com/news/business-52450850 #UK #banks #banking #finance #economy #economics #workers #wages #jobs #politics #PoliticalParties #markets #investors #COVID19 #RegionalSecurity #recovery"
73,2020-04-28 11:06:10+00:00,Why go out looking for a story when you can sit on your arse and click on one Cut and paste. Job done
74,2020-04-28 10:57:55+00:00,"UK Higher Education is built on insecure work and disposable labour, and the pandemic and the resulting 'second wave' of the global economic crisis are about to reveal this in all its horror. No cuts, no course closures, no job losses - fight to #DefendEducation"
75,2020-04-28 10:50:27+00:00,"Coronavirus: HSBC puts 35,000 job cuts on hold https://www.bbc.com/news/business-52450850"
76,2020-04-28 09:54:04+00:00,"HSBC pauses plans to cut 35,000 jobs, saying it does not want to leave staff unable to find work elsewhere during the coronavirus outbreak "
77,2020-04-28 09:40:00+00:00,"Airline SAS to cut up to 5,000 jobs due to pandemic https://uk.reuters.com/article/uk-health-coronavirus-sas-jobs-idUKKCN22A0PH?taid=5ea7f9efe1ba140001281186&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter"
78,2020-04-28 09:23:44+00:00,"its only for this year, As reserve's have been cut i think the main intention is to try and keep these players on the books. I guess there are two options less wage for this year or no job at all for rest of year."
79,2020-04-28 09:12:51+00:00,"#Coronavirus: #HSBC has paused plans to cut 35,000 #jobs #business #economy #uk #news https://www.bbc.co.uk/news/business-52450850"
80,2020-04-28 08:12:42+00:00,I wasnt meaning that Nathan . I think qualified have to revalidate every 5 years and they have to give records of the training they have done in the previous 5 years . Ps wife is one . This short cut system wouldnt be allowed in their job!!
81,2020-04-27 23:20:42+00:00,Amazing job considering she has never really cut hair before and she was absolutely terrified of doing it haha
82,2020-04-27 21:22:39+00:00,Rightly so.The UK should never have lost its manufacturing industry in the first place. Our workers lost their jobs years ago to these countries. The UK’s International Development budget is the only budget never to be cut by any Government so the country is still supporting them 
83,2020-04-27 21:09:08+00:00,"I’m told British Airways is considering launching a consultation that could result in it axing roughly 800 of its 4500 pilots’ jobs. A 50% pay cut for BA pilots is in place until the end of May, but permanent redundancies would further underline the crisis facing UK aviation."
84,2020-04-27 17:03:18+00:00,"I understand that aspect and - like New Zealand - I think the govt of the UK &amp; US - all govts should take cuts as are the people. But to your point, it's not just Dems wanting to keep locked down, even some rep govs. Do you not think Democrats are losing their jobs &amp; dying too?"
85,2020-04-27 15:49:58+00:00,Companies that have received government support to help them through the coronavirus crisis should cut executive pay and consider clawing back bonuses from bosses. Would you support or oppose this idea? #furlough #pay #wages #bonuses #jobs #economy #uk #politics
86,2020-04-27 13:45:00+00:00,Coronavirus: UK firms at risk of making 'permanent' job cuts 
87,2020-04-27 13:34:41+00:00,"Boomers were also Hippies Woodstock CND/Ban the Bomb/No to War Greenham Common I was born in 59 end of the so called Boomer years. I missed the boom. I was fighting Thatcher in the 70's and 80's, No job security, miners strikes, 3 day week, power cuts etc #NotAllBoomers"
88,2020-04-27 13:15:01+00:00,Coronavirus: UK firms at risk of making 'permanent' job cuts https://www.bbc.co.uk/news/business-52279455
89,2020-04-27 12:35:04+00:00,Airbus 'bleeding cash' and may have to cut jobs to survive coronavirus crisis http://dlvr.it/RVXbC8
90,2020-04-27 12:32:44+00:00,"Hi Nigel, please can someone respond to our queries regarding the AV holders who are now homeless and jobless here in SA with homes and jobs and family waiting In the UK? We have been asking for news for weeks and just been ignored please"
91,2020-04-27 11:30:21+00:00,"They wont tho, I see too many people believe, or dog whistles that the country is doing badly and we have to 'cut our cloth' because of immigrants taking all the jobs, &amp; benefits, and the biggee the despising of nationals on benefits 'scroungers' zero solidarity/get on your bike"
92,2020-04-27 11:20:16+00:00,"You were saying our immigration has become a joke so of all the times this gov could cut travel to the UK to save what few jobs we have for our citizens they didn't &amp; they didn't stop ppl with infections arriving from hotspot countries, I'm sure we voted to reduce it drastically"
93,2020-04-27 09:54:54+00:00,"UK Environment Secretary Eustice blasted after suggesting furloughed workers get 2nd job picking fruit Yet its ok MP's don't have pay cut and get additional £10,000 no questions asked expenses? "
94,2020-04-27 08:55:44+00:00,Airbus warns it is 'bleeding cash' and may need more job cuts https://www.theguardian.com/business/2020/apr/27/airbus-job-cuts-staff-coronavirus-lockdown?CMP=share_btn_tw #airbus
95,2020-04-27 08:51:19+00:00,"Jo Bamford this morning on @BBCr4today set out case for UK govt to back hydrogen for: Major cuts in carbon emissions Create thousands of green jobs across UK Unlock innovation in low carbon transport, heat and industry Position UK as world-leader in hydrogen "
96,2020-04-27 05:00:23+00:00,"2020 #UK #Jobs statistics (27-04-2020 compiled by @michael75lewis): Jobs &amp; apprenticeships cut / at risk 9,703,482 Temporary / permanent jobs planned or created 297,179 Jobs to be furloughed / saved / with reduced hours 7,001,550 Working from home due to #Covid19 15,876,000"
97,2020-04-27 05:00:09+00:00,"2020 #UK #Jobs statistics (27-04-2020 compiled by @michael75lewis): Jobs &amp; apprenticeships cut / at risk 9,703,482 Temporary / permanent jobs planned or created 297,179 Jobs to be furloughed / saved / with reduced hours 7,001,550 Working from home due to #Covid19 15,876,000"
98,2020-04-27 04:29:43+00:00,#Airbus send 'all staff letter' warning of deep job cuts as future demand for products not there and unlikely to improve. Wide spread call for industry bail-outs by nGovernment...
99,2020-04-27 04:26:55+00:00,"@Burberry says it will retain all of its staff and not rely on UK government support for jobs, with senior management taking a 20-per-cent pay cut to help ride the Covid-19 crisis out https://insideretail.asia/2020/04/27/burberry-management-take-pay-shave-as-luxury-brand-keeps-staff-on-payroll/"
100,2020-04-26 19:33:37+00:00,"Sounds as if that guy is just throwing out another ""reason"" to cut social benefits on the basis that people don't take the jobs they're being offered, that being fruit picker. A job, I might add, which is still considered unskilled in the UK."
101,2020-04-26 16:05:49+00:00,@BorisJohnson Whish i could go back to work tomorrow but ohhh no my job was terminated because i could not be furloughed as i missed the CJRS cut off by 1 day because of the unfair RTI date. #newstarterjustice #newstarterfurlough
102,2020-04-26 13:54:32+00:00,"Talking about the NHS or your arguments so weak you need to diverse? Boris managed to cut knife crime in London on similar police numbers. Sadiq Khan can't manage a wank. NHS have procurement managers to manage ordering stock,its not a government job. Green supporter says it all"
103,2020-04-26 13:40:10+00:00,"In these times of having to watch genuinely talented people either losing their jobs, or having to take a huge cut in their income, yet AGAIN, we are reminded of the huge amount of 'journalists' in the UK STEALING a living! "
104,2020-04-26 12:35:05+00:00,"This #SocialistSunday I have a request for my comrades. Since the beginning of this year, I have been keeping a running total of jobs lost &amp; created in the #UK. If you see any posts relating to job cuts or jobs creation, please tag me. Thank you. Solidarity. "
105,2020-04-26 07:08:13+00:00,"OnePlus goes for job cuts in Europe to focus on key markets Chinese smartphone maker OnePlus on Saturday (April 25) announced significant redundancies across Europe with sources claiming that many regional offices, including UK, France and Germany downsizing their workforce … "
106,2020-04-26 06:49:38+00:00,Start Manufacturing ecentral product and manufacturing back in the UK This will Create real jobs longer lasting.Stop giving contact to the wrong supplier chain Source direct me cut middleman out it
107,2020-04-26 00:40:36+00:00,"Thanks, I only passed my driving Aug 2018 and for a lot of delivery jobs you need about 1-3yrs experience in the UK anyway But yeah Tbh, delivery man would be amazing actually and I like dogs I’d probably be this postman though that is just ruthless lol "
108,2020-04-25 19:21:37+00:00,Buhari only do the talk pls action should back up all these talks. You promised this as one of your agenda and i boted for you cos of only this point. Cut the allowances and reduce running cost of the house. Should be a part time job like in the UK.
109,2020-04-25 17:13:07+00:00,"No one is, we just want a third QB on the roster, and Nick Caserio has said there will be one. If Fromm does fall to us and we take him, Stidham will have his work cut out for him. He hasn’t won the job yet"
110,2020-04-25 16:32:52+00:00,"Exercise rule, for the last 5 weeks I have only seen 2-3 police officer's walking around, I have not been asked where I have been going. I am not having a go at them because its hard for them having jobs cut and if you ask someone where they are going then they will reply having"
111,2020-04-25 15:26:47+00:00,The Press in all its glory. I suspect when we come out of this pandemic there will be job cuts at UK newspapers. Whether left or right-leaning the public will turn away from the nonsense they are printing daily. Allison Pearson #COVIDIOTS
112,2020-04-25 10:58:36+00:00,If the UK does not plan on repatriate the UK citizens &amp; there is no commercial flights what happens to our jobs in the UK &amp; our salaries. My budget has been blown out of the water completely &amp; I cannot afford losing my job and/or taking salary cuts. What do we do in the meantime?
113,2020-04-24 19:22:20+00:00,"#Coronavirus latest: ‘Economic tsunami’ to cost New York $13bn in annual revenue - #Lufthansa to cut 10,000 jobs - #Dyson says new #ventilator no longer required in UK New #COVID19 outbreak aboard US navy vessel https://www.ft.com/content/4ce6351c-4f5a-3834-b27a-2ca7e3c1b875 via @financialtimes"
114,2020-04-24 16:37:00+00:00,"""The governing bodies in the UK need to do a better job by the athletes."" Callum Skinner has warned Team GB funding could be cut if they don't improve care for competitors. http://bbc.in/2Y5AmQ3"
115,2020-04-24 16:33:29+00:00,You don’t have to to not pay UK tax because you ‘live’ on Necker Staff only voted for a pay cut because you made the only option that wasn’t job losses #scumbag
116,2020-04-24 16:29:38+00:00,"I agree it isn't handled well. Considering the huge cuts to public funding, would you not agree more available tax and recession-proof jobs would be desired? Regardless of your moral or personal beliefs of the cannabis industry, it can be resilient and thriving in legal areas"
117,2020-04-24 13:22:45+00:00,"Europe Vs. US: Job Cuts Are Handled Differently In The UK, Hurting People Less. "
118,2020-04-24 12:37:51+00:00,"Hundreds of #UK #aerospace #jobs are being cut after Meggitt, the FTSE 100 engineer, said it was axing 15 per cent of its #workforce and Safran, the #French #group, announced #redundancies at #plants in #England and #Wales. #covid…https://lnkd.in/dZgQzez"
119,2020-04-24 12:36:00+00:00,"""The governing bodies in the UK need to do a better job by the athletes."" Callum Skinner has warned Team GB funding could be cut if they don't improve care for competitors. http://bbc.in/2Y5AmQ3"
120,2020-04-24 11:24:29+00:00,"The party was against their protocol, but since they are doing great job for this country and been totally cut off from the rest of the world for a while, I would even if it is an offensive should be forgiven on this instance."
121,2020-04-24 10:14:21+00:00,#Burberry confirms staff unable to work due to store closures will continue to receive their salary in full. The #British fashion house will not take advantage of the govt's job retention scheme. Top bosses will take a 20% pay cut. #uk #NHS
122,2020-04-24 10:00:00+00:00,"UK defence firm Meggitt is to cut 1,800 jobs - which equate to 15% of the engineer’s workforce - as part of a major cost-cutting programme to help deal with the shutdown of the global aviation market. "
123,2020-04-24 08:47:50+00:00,"Doing a top notch job so far. Just saying its ppe doesn't cut it, as already stated publicly they're taking supplies from hundreds of uk companies, but not from others because they don't meet nhs standards"
124,2020-04-24 08:46:21+00:00,"Members of the UK press who consider press briefings to be 'exercises not in accountability, but obfuscation' and are giving up on the briefings, perhaps journalism is just not for you ... your job is to cut through the obfuscation and provide clarity to the public, right? "
125,2020-04-24 08:35:00+00:00,"""The governing bodies in the UK need to do a better job by the athletes."" Callum Skinner has warned Team GB funding could be cut if they don't improve care for competitors. http://bbc.in/2Y5AmQ3"
126,2020-04-24 06:55:05+00:00,"""Mario Centeno, who chaired the talks after sixteen hours of all-night discussions earlier this week failed to yield a deal, said 100 billion euros would go to a scheme to subsidise wages so that firms can cut working hours, not jobs"" Stealing the UK's idea.... Good old EU"
127,2020-04-24 03:34:39+00:00,I re job Rodgers has at least 4yrs left so it seems a little early to Pick his replacement unless he gets cut early.
128,2020-04-23 21:53:40+00:00,@Dominos_UK #southend store what muppet cut this! How the fuck are you meant to share this?? What a waste of £20 .. Stirling job 
129,2020-04-23 19:22:14+00:00,"#MartinLewis seasonaire workers from the alps, ski season job cuts short due to COVID, uk contracts cut short due to this and companies refuse to furlough or aid in any way."
130,2020-04-23 19:01:31+00:00,"And that changed this week? They are paid a fair wage for the job they do. Perhaps they could cut the £50k ""Diversity Managers"" a little, if they feel the need."
131,2020-04-23 18:28:01+00:00,"No thanks, it’s the usual virtue signalling parasites expecting us to dig deep whilst many have lost their jobs, had pay cuts or been furloughed, with many losing loved ones, some of whom were the breadwinners, &amp; right on top of the generosity the UK showed Captain Tom, no thanks"
132,2020-04-23 16:35:54+00:00,"As at mid April only 1.4% of 300,000 firms that sought help from the Coronavirus Business Interuption Loan Scheme (CBILs) have received help. Whilst banks are throwing more resources at this, they will not have enough people after years of job cuts. No media attention on this."
133,2020-04-23 14:52:14+00:00,Made it through UK’s job cut. Ya boy still working through it.
134,2020-04-23 12:54:13+00:00,"But Les you are literally ""up"" for losing Scottish jobs with savage cuts in spending to justify Scexit. You were lost a long time ago soft lad. "
135,2020-04-23 12:48:50+00:00,"Vice chancellor of @OfficialUoM, Nancy Rothwell, says the UK's biggest university is looking at a £270m shortfall in funds this year with projected 80% fall in international students. Warns of possible job losses and says she is taking 20% pay cut "
